,AnimalID,SessionID,Ntrials,Protocol,Stim,FiberSide,FiberArea,StimSide,StimPort,Contralateral,InitialBias,ProgressionBlockIndex,BiasToStimMovement
297,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,75.5,-0.0
298,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,149.5,-4.642857142857125
299,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,154.5,-3.452380952380949
300,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,159.5,-4.404761904761898
301,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,164.5,-2.7380952380952266
302,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,169.5,-2.7380952380952266
303,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,174.5,-5.595238095238088
304,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,179.5,-5.595238095238088
305,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,184.5,-10.357142857142847
306,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,189.5,-16.309523809523796
307,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,194.5,-9.166666666666657
308,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,199.5,-6.785714285714278
309,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,204.5,3.9285714285714306
310,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,209.5,9.880952380952387
311,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,214.5,3.9285714285714377
312,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,219.5,1.0374149659864003
313,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,224.5,10.357142857142868
314,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,229.5,-3.214285714285708
315,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,234.5,-25.83333333333333
316,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,239.5,-31.785714285714263
317,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,244.5,-32.380952380952365
318,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,249.5,-27.02380952380952
319,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,254.5,-18.6111111111111
320,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,259.5,-6.547619047619037
321,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,264.5,3.9285714285714377
322,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,269.5,5.799319727891167
323,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,274.5,6.309523809523817
324,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,279.5,-0.8333333333333286
325,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,284.5,3.452380952380956
326,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,289.5,0.595238095238102
327,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,294.5,-7.023809523809518
328,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,299.5,-6.3888888888888715
329,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,304.5,0.3571428571428612
330,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,309.5,-0.8333333333333286
331,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,314.5,4.583333333333343
332,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,319.5,3.095238095238102
333,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,324.5,4.1666666666666785
334,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,329.5,2.500000000000007
335,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,334.5,4.722222222222236
336,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,339.5,3.452380952380956
337,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,344.5,3.9285714285714306
338,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,349.5,-0.8333333333333144
339,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,354.5,2.142857142857153
340,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,359.5,-5.833333333333329
341,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,364.5,-7.5793650793650755
342,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,369.5,-10.555555555555543
343,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,374.5,-8.6111111111111
344,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,379.5,-5.595238095238088
345,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,384.5,-7.976190476190482
346,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,389.5,-1.309523809523796
347,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,394.5,10.277777777777779
348,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,399.5,0.3571428571428612
349,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,404.5,16.649659863945587
350,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,409.5,0.8333333333333428
351,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,414.5,0.8333333333333428
352,DAopto-01,DAopto-01 Apr05 14:04,432.0,Aud_Psycho,True,Right,tStr,Left,Center,True,65.63553113553114,419.5,1.547619047619051
455,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,75.5,0.0
456,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,149.5,11.17790239050272
457,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,154.5,7.011235723836052
458,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,159.5,6.892188104788435
459,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,164.5,14.749330961931296
460,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,169.5,16.29695000955034
461,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,174.5,24.154092866693194
462,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,179.5,27.36837858097891
463,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,184.5,21.77314048574082
464,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,189.5,22.844569057169384
465,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,194.5,21.296950009550333
466,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,199.5,12.130283342883665
467,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,204.5,6.654092866693194
468,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,209.5,4.273140485740811
469,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,214.5,4.173934136534466
470,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,219.5,7.22948969209002
471,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,224.5,8.658061120661444
472,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,229.5,13.499330961931289
473,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,234.5,11.245929601387068
474,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,239.5,11.346553184153514
475,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,244.5,2.3782992158995384
476,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,249.5,13.142188104788435
477,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,254.5,14.035045247645574
478,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,259.5,8.677902390502716
479,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,264.5,5.463616676217001
480,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,269.5,7.368378580978913
481,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,274.5,4.7493309619312924
482,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,279.5,4.630283342883672
483,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,284.5,-6.713254072082314
484,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,289.5,2.5724602136319703
485,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,294.5,-2.6316214190210907
486,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,299.5,7.368378580978909
487,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,304.5,5.7017119143122414
488,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,309.5,9.834364975536737
489,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,314.5,10.276541846285038
490,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,319.5,20.29354864900611
491,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,324.5,14.491394453994786
492,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,329.5,14.511235723836055
493,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,334.5,10.820759533359865
494,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,339.5,5.344569057169387
495,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,344.5,-3.2268595142591856
496,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,349.5,-5.250669038068711
497,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,354.5,-10.369716657116328
498,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,359.5,-10.74386631698027
499,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,364.5,-10.607811895211569
